,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V",ΔGO*-ΔGOH*,composition,material id,band gap,chemsys,cluster
60,BaPbO3,Perovskite,1.73,4.46,4.89,1.5,2.73,Ba1 Pb1 O3,mp-20991,0.02729999999999988,Ba-O-Pb,2
62,BaPrO3,Perovskite,2.31,5.13,5.43,1.6,2.82,Ba1 Pr1 O3,mp-22705,0.0,Ba-O-Pr,2
68,BaScO3,Perovskite,2.25,5.18,4.97,1.7,2.9299999999999997,Ba1 Sc1 O3,mp-1183289,0.0,Ba-O-Sc,2
69,BaSnO3,Perovskite,2.1,5.04,5.46,1.71,2.94,Ba1 Sn1 O3,mp-1178513,0.6650999999999998,Ba-O-Sn,2
70,BaSnO3,Perovskite,1.35,4.19,4.59,1.6,2.8400000000000003,Ba1 Sn1 O3,mp-1178513,0.6650999999999998,Ba-O-Sn,2
72,BaTbO3,Perovskite,2.57,5.54,5.62,1.74,2.97,Ba1 Tb1 O3,mp-1182811,0.0,Ba-O-Tb,2
75,BaThO3,Perovskite,1.78,4.4,5.15,1.39,2.62,Ba1 Th1 O3,mp-8037,3.2033000000000005,Ba-O-Th,2
76,BaTiO3,Perovskite,2.54,5.34,5.63,1.57,2.8,Ba1 Ti1 O3,mp-504715,0.0,Ba-O-Ti,2
77,BaTiO3,Perovskite,0.98,3.58,4.21,1.36,2.6,Ba1 Ti1 O3,mp-504715,0.0,Ba-O-Ti,2
78,BaTiO3,Perovskite,2.4,4.91,5.52,1.47,2.5100000000000002,Ba1 Ti1 O3,mp-504715,0.0,Ba-O-Ti,2
79,BaTlO3,Perovskite,2.05,4.77,5.02,1.49,2.7199999999999998,Ba1 Tl1 O3,mp-1183393,0.0,Ba-O-Tl,2
84,BaYO3,Perovskite,1.8,4.78,4.75,1.75,2.9800000000000004,Ba1 Y1 O3,,,,2
85,BaZnO3,Perovskite,2.38,5.09,5.14,1.48,2.71,Ba1 Zn1 O3,mp-1183405,0.0,Ba-O-Zn,2
